"Influenza Hospitalization Rates (per 100,000 population) are for the "FluSurv-NET Network (downloaded on Oct-08-2014)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,RATE 
Entire Network,FluSurv-NET,2011-12,2011,51,Overall,0.3
Entire Network,FluSurv-NET,2011-12,2011,52,Overall,0.4
Entire Network,FluSurv-NET,2011-12,2012,1,Overall,0.5
Entire Network,FluSurv-NET,2011-12,2012,2,Overall,0.6
Entire Network,FluSurv-NET,2011-12,2012,3,Overall,0.7
Entire Network,FluSurv-NET,2011-12,2012,4,Overall,0.8
Entire Network,FluSurv-NET,2011-12,2012,5,Overall,1
Entire Network,FluSurv-NET,2011-12,2012,6,Overall,1.2
Entire Network,FluSurv-NET,2011-12,2012,7,Overall,1.5
Entire Network,FluSurv-NET,2011-12,2012,8,Overall,1.9
Entire Network,FluSurv-NET,2011-12,2012,9,Overall,2.5
Entire Network,FluSurv-NET,2011-12,2012,10,Overall,3.3
Entire Network,FluSurv-NET,2011-12,2012,11,Overall,4.4
Entire Network,FluSurv-NET,2011-12,2012,12,Overall,5.4
Entire Network,FluSurv-NET,2011-12,2012,13,Overall,6.2
Entire Network,FluSurv-NET,2011-12,2012,14,Overall,6.9
Entire Network,FluSurv-NET,2011-12,2012,15,Overall,7.6
Entire Network,FluSurv-NET,2011-12,2012,16,Overall,8.2
Entire Network,FluSurv-NET,2011-12,2012,17,Overall,8.7
Entire Network,FluSurv-NET,2012-13,2012,40,Overall,0
Entire Network,FluSurv-NET,2012-13,2012,41,Overall,0.1
Entire Network,FluSurv-NET,2012-13,2012,42,Overall,0.1
Entire Network,FluSurv-NET,2012-13,2012,43,Overall,0.1
Entire Network,FluSurv-NET,2012-13,2012,44,Overall,0.2
Entire Network,FluSurv-NET,2012-13,2012,45,Overall,0.4
Entire Network,FluSurv-NET,2012-13,2012,46,Overall,0.7
Entire Network,FluSurv-NET,2012-13,2012,47,Overall,1.2
Entire Network,FluSurv-NET,2012-13,2012,48,Overall,1.9
Entire Network,FluSurv-NET,2012-13,2012,49,Overall,3.3
Entire Network,FluSurv-NET,2012-13,2012,50,Overall,5.3
Entire Network,FluSurv-NET,2012-13,2012,51,Overall,8.3
Entire Network,FluSurv-NET,2012-13,2012,52,Overall,13.3
Entire Network,FluSurv-NET,2012-13,2013,1,Overall,18.7
Entire Network,FluSurv-NET,2012-13,2013,2,Overall,23.6
Entire Network,FluSurv-NET,2012-13,2013,3,Overall,27.4
Entire Network,FluSurv-NET,2012-13,2013,4,Overall,30.5
Entire Network,FluSurv-NET,2012-13,2013,5,Overall,33
Entire Network,FluSurv-NET,2012-13,2013,6,Overall,35
Entire Network,FluSurv-NET,2012-13,2013,7,Overall,36.7
Entire Network,FluSurv-NET,2012-13,2013,8,Overall,38
Entire Network,FluSurv-NET,2012-13,2013,9,Overall,39.2
Entire Network,FluSurv-NET,2012-13,2013,10,Overall,40.2
Entire Network,FluSurv-NET,2012-13,2013,11,Overall,41.2
Entire Network,FluSurv-NET,2012-13,2013,12,Overall,41.9
Entire Network,FluSurv-NET,2012-13,2013,13,Overall,42.5
Entire Network,FluSurv-NET,2012-13,2013,14,Overall,43.1
Entire Network,FluSurv-NET,2012-13,2013,15,Overall,43.5
Entire Network,FluSurv-NET,2012-13,2013,16,Overall,43.6
Entire Network,FluSurv-NET,2012-13,2013,17,Overall,43.8
Entire Network,FluSurv-NET,2013-14,2013,40,Overall,0
Entire Network,FluSurv-NET,2013-14,2013,41,Overall,0.1
Entire Network,FluSurv-NET,2013-14,2013,42,Overall,0.2
Entire Network,FluSurv-NET,2013-14,2013,43,Overall,0.3
Entire Network,FluSurv-NET,2013-14,2013,44,Overall,0.4
Entire Network,FluSurv-NET,2013-14,2013,45,Overall,0.5
Entire Network,FluSurv-NET,2013-14,2013,46,Overall,0.8
Entire Network,FluSurv-NET,2013-14,2013,47,Overall,1.1
Entire Network,FluSurv-NET,2013-14,2013,48,Overall,1.7
Entire Network,FluSurv-NET,2013-14,2013,49,Overall,2.7
Entire Network,FluSurv-NET,2013-14,2013,50,Overall,3.8
Entire Network,FluSurv-NET,2013-14,2013,51,Overall,5.8
Entire Network,FluSurv-NET,2013-14,2013,52,Overall,9
Entire Network,FluSurv-NET,2013-14,2014,1,Overall,12.9
Entire Network,FluSurv-NET,2013-14,2014,2,Overall,16.7
Entire Network,FluSurv-NET,2013-14,2014,3,Overall,19.8
Entire Network,FluSurv-NET,2013-14,2014,4,Overall,22.2
Entire Network,FluSurv-NET,2013-14,2014,5,Overall,24.4
Entire Network,FluSurv-NET,2013-14,2014,6,Overall,26.2
Entire Network,FluSurv-NET,2013-14,2014,7,Overall,27.5
Entire Network,FluSurv-NET,2013-14,2014,8,Overall,28.5
Entire Network,FluSurv-NET,2013-14,2014,9,Overall,29.5
Entire Network,FluSurv-NET,2013-14,2014,10,Overall,30.2
Entire Network,FluSurv-NET,2013-14,2014,11,Overall,30.9
Entire Network,FluSurv-NET,2013-14,2014,12,Overall,31.6
Entire Network,FluSurv-NET,2013-14,2014,13,Overall,32.3
Entire Network,FluSurv-NET,2013-14,2014,14,Overall,33.1
Entire Network,FluSurv-NET,2013-14,2014,15,Overall,33.9
Entire Network,FluSurv-NET,2013-14,2014,16,Overall,34.6
Entire Network,FluSurv-NET,2013-14,2014,17,Overall,35.5

 Disclaimer:
"The Influenza Hospitalization Surveillance Network (FluSurv-NET) data are preliminary and subject to"
"change as more data become available.  FluSurv-NET conducts population-based surveillance for "
"laboratory-confirmed influenza related hospitalizations in children <18 years of age (since 2003-2004 "
"influenza season) and adults (since 2005-2006 influenza season).  The FluSurv-NET covers over 70"
"counties in the 10 Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR,"
"TN) and additional Influenza Hospitalization Surveillance Project (IHSP) states.   The IHSP began "
"during the 2009-2010 season to enhance surveillance during the 2009 H1N1 pandemic.  IHSP sites "
"included IA, ID, MI, OK and SD during 2009-2010 season; ID, MI, OH, OK, RI, and UT during the"
"2010-2011 season; MI, OH, RI, and UT during the 2011-2012 season; IA, MI, OH, RI, and UT during "
"the 2012-2013 season; and MI, OH, and UT during the 2013-2014 season.  Incidence rates (per 100,000"
"population) are calculated using the National Center for Health Statistics’ (NCHS) population estimates"
"for the counties included in the surveillance catchment area.  The rates provided are likely to be "
"underestimated as influenza-related hospitalizations can be missed, either because testing is not"
"performed, or because cases may be attributed to other causes of pneumonia or other common"
"influenza-related complications."
